"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","I can put a reaction to the article: If there is a registered account and user authorized, I can put a reaction to the article","","0","0","9","0","0"
"","Making an order: I can making an order (before payment)","","0","0","26","0","0"
"","Filtering the catalog page: I can apply filters on the catalog page","","0","0","13","0","0"
"","Registering a new account: I can register a new account","","0","0","13","0","0"
"","Realty: I can apply filters in the real estate catalog","","0","0","14","0","0"
"","search for a specific product through a quick search: I can find a specific product through a quick search","","0","0","10","0","0"
"","User Support Form: I can fill in the data in user support form","","0","0","17","0","0"
"","Log in to a registered account: If there is a registered account, I can log in to this account","","0","0","7","0","0"
"","Currency converter: I can convert currency in the currency converter on the website","","0","0","10","0","0"
